  n        chi2     alfa     beta      gama
 -1    3.531191   4.0000   0.8300   -0.4100
  0   12.447369   3.4113   0.8522   -0.4809
  1    6.485139   4.9328   0.7201   -0.4244
  2    4.778966   4.5790   0.8619   -0.2296
  3    5.674661   4.5219   0.7779   -0.4998
  4    7.034074   3.4486   0.9243   -0.4496
  5    5.561422   4.8980   0.7847   -0.2734
  6    5.607957   4.1823   0.8298   -0.4418
  7    5.561003   4.2651   0.9060   -0.2390
  8    4.451864   4.1223   0.8530   -0.3057
  9    4.338172   4.1157   0.8326   -0.3416
 10    6.338602   4.6105   0.7728   -0.4279
 11    8.631943   3.8784   0.8310   -0.5238
 12    9.092022   4.1686   0.7574   -0.4191
 13    6.369052   3.6851   0.9196   -0.2315
 14    4.401732   4.1292   0.8108   -0.4797
 15    3.529158   3.9071   0.8476   -0.4352
 16    4.693981   4.3895   0.7911   -0.3751
 17    6.696500   4.4602   0.8610   -0.2060
 18    7.283227   4.1668   0.7728   -0.3995
 19    4.773123   4.9980   0.6974   -0.5016
 20    4.718431   4.3612   0.7952   -0.3606
 21    4.554699   3.7969   0.8571   -0.3684
 22    6.264230   4.6071   0.7169   -0.4664
 23    7.119855   3.2485   0.9221   -0.4277
 24    5.614041   4.0401   0.8034   -0.3883
 25    4.773695   4.6970   0.7400   -0.5134
 26    7.903797   3.9412   0.7992   -0.4049
 27    7.896612   3.8414   0.7848   -0.4579
 28    6.216165   3.9811   0.7939   -0.5050
 29    4.819983   3.8307   0.8678   -0.4625
 30    5.043100   4.3921   0.7858   -0.4211
 31    4.413920   3.3647   0.9260   -0.3860
 32    5.187520   3.8686   0.8768   -0.4441
 33    2.811053   3.6627   0.8908   -0.4210
 34    5.980768   5.2295   0.6765   -0.5045
 35    6.769697   3.7287   0.9010   -0.4264
 36    5.085886   3.7466   0.8764   -0.4653
 37    5.621300   3.9310   0.8154   -0.3785
 38    6.100418   3.5337   0.9449   -0.2349
 39    5.739693   4.3816   0.7308   -0.4682
 40    8.087679   4.3940   0.7070   -0.4952
 41    5.255941   4.1227   0.8314   -0.4299
 42    4.445051   4.2555   0.8127   -0.4338
 43    5.652763   4.0596   0.7685   -0.4762
 44    5.924864   4.0652   0.8398   -0.4659
 45    6.206554   3.9682   0.8063   -0.3844
 46    3.790475   4.0428   0.8179   -0.4782
 47    4.797972   3.7322   0.8723   -0.3417
 48    3.561299   4.0278   0.8182   -0.4183
 49    4.250385   4.1442   0.8368   -0.3490
 50    3.786748   4.1231   0.8036   -0.4273
 51    5.551106   4.5298   0.7725   -0.4421
 52    8.906235   4.0450   0.8317   -0.5300
 53    7.501985   4.3754   0.7462   -0.5530
 54    5.424536   4.2479   0.8478   -0.2530
 55    6.797054   4.6650   0.8589   -0.2592
 56    4.483761   4.0161   0.7968   -0.4395
 57    4.213451   4.3328   0.7951   -0.4803
 58    5.761773   4.6820   0.7542   -0.4143
 59    5.337139   4.5180   0.7537   -0.4134
 60    6.433250   4.6822   0.7231   -0.5568
 61    9.004386   4.6272   0.7619   -0.3161
 62    7.009987   4.3032   0.8328   -0.3420
 63    4.440438   4.4156   0.7879   -0.3873
 64    5.177526   4.4888   0.7616   -0.4142
 65    6.172679   4.2758   0.8315   -0.3347
 66    5.186296   3.5023   0.9124   -0.4326
 67    4.518436   3.5384   0.8975   -0.4318
 68    7.895150   4.4275   0.7981   -0.5046
 69    6.410027   3.9563   0.8673   -0.4326
 70    5.011252   3.6929   0.8610   -0.3641
 71    6.561336   3.6108   0.8803   -0.3333
 72    6.470840   4.2975   0.8093   -0.5120
 73    5.695658   3.3258   0.9270   -0.4231
 74    6.885741   3.7319   0.8091   -0.4450
 75    5.386310   4.6773   0.7777   -0.3193
 76   13.437663   2.7594   0.9747   -0.3885
 77    4.750118   3.9822   0.8549   -0.4161
 78    7.622368   4.6047   0.7767   -0.5017
 79    4.626789   3.8423   0.8838   -0.3782
 80    6.059994   3.1926   0.9353   -0.4099
 81    5.563847   4.2401   0.7620   -0.4935
